regime,level,feature,target,mean_ic,n_days,t_stat
market_vol_20d,high,rev_5,fwd_ret_1_mkt,0.0057442170142527,617,0.6458727256487976
market_vol_20d,high,rev_5,fwd_ret_20_mkt,0.004743369247203172,609,0.6362655846373418
market_vol_20d,high,rev_5,fwd_ret_5_mkt,0.012742355227611368,613,1.6417439155709028
market_vol_20d,high,rsi,fwd_ret_1_mkt,-0.002719418472464125,617,-0.3013503583707558
market_vol_20d,high,rsi,fwd_ret_20_mkt,-0.006036197850605857,609,-0.8595686401876667
market_vol_20d,high,rsi,fwd_ret_5_mkt,-0.01299514509075172,613,-1.6687031312172445
market_vol_20d,high,wr,fwd_ret_1_mkt,-0.003905823248138194,617,-0.483213979734338
market_vol_20d,high,wr,fwd_ret_20_mkt,-0.002199110888809548,609,-0.3410467487630461
market_vol_20d,high,wr,fwd_ret_5_mkt,-0.013577673777084428,613,-1.9337654261333164
market_vol_20d,low,rev_5,fwd_ret_1_mkt,0.006791549892843535,631,1.0009974039628897
market_vol_20d,low,rev_5,fwd_ret_20_mkt,0.00012584345521053346,620,0.022741566269172488
market_vol_20d,low,rev_5,fwd_ret_5_mkt,0.006421637841320039,631,1.0359379085952465
market_vol_20d,low,rsi,fwd_ret_1_mkt,0.0018983828205529792,622,0.2698660825785964
market_vol_20d,low,rsi,fwd_ret_20_mkt,0.02038702519368606,611,3.693852808673242
market_vol_20d,low,rsi,fwd_ret_5_mkt,0.008047730761707015,622,1.2724440934094485
market_vol_20d,low,wr,fwd_ret_1_mkt,-0.0017184231269631832,623,-0.26509006034230537
market_vol_20d,low,wr,fwd_ret_20_mkt,0.009127645560337965,612,1.79627170705721
market_vol_20d,low,wr,fwd_ret_5_mkt,-0.0026633505066278548,623,-0.46573323357188673
spy_above_200dma,high,rev_5,fwd_ret_1_mkt,0.01211752487186087,841,2.0029500697199984
spy_above_200dma,high,rev_5,fwd_ret_20_mkt,0.0013527745989412423,822,0.25928254147454016
spy_above_200dma,high,rev_5,fwd_ret_5_mkt,0.008686406926855485,837,1.51846158060593
spy_above_200dma,high,rsi,fwd_ret_1_mkt,-0.004095422648497511,841,-0.6456910627849831
spy_above_200dma,high,rsi,fwd_ret_20_mkt,0.013371181155596299,822,2.6332554247723396
spy_above_200dma,high,rsi,fwd_ret_5_mkt,-0.0011903349315797974,837,-0.20704002122114346
spy_above_200dma,high,wr,fwd_ret_1_mkt,-0.007519337644895115,841,-1.2935727016354226
spy_above_200dma,high,wr,fwd_ret_20_mkt,0.0009598348351499784,822,0.20700035078724624
spy_above_200dma,high,wr,fwd_ret_5_mkt,-0.009795623961529278,837,-1.8676705555700281
spy_above_200dma,low,rev_5,fwd_ret_1_mkt,-0.005801446036994616,407,-0.4980689261021501
spy_above_200dma,low,rev_5,fwd_ret_20_mkt,0.004557135364736021,407,0.49573618911601897
spy_above_200dma,low,rev_5,fwd_ret_5_mkt,0.011284016301279285,407,1.1848489122687327
spy_above_200dma,low,rsi,fwd_ret_1_mkt,0.007404933076030134,398,0.6330972470925877
spy_above_200dma,low,rsi,fwd_ret_20_mkt,-0.005554479918535029,398,-0.6288114000260399
spy_above_200dma,low,rsi,fwd_ret_5_mkt,-0.0049347363545646965,398,-0.5030241547053959
spy_above_200dma,low,wr,fwd_ret_1_mkt,0.0071260461332267305,399,0.6849362368382647
spy_above_200dma,low,wr,fwd_ret_20_mkt,0.008666356684582804,399,1.0625604747369977
spy_above_200dma,low,wr,fwd_ret_5_mkt,-0.0044697847999546425,399,-0.5153040262456389
