feature,target,horizon,mean_ic,n_days,t_stat_naive,mean_ic_nonoverlap,n_nonoverlap,t_stat_nonoverlap
mom_12_1,fwd_ret_1,1,0.02569616128617427,1001,3.4156484463278893,0.02569616128617427,1001,3.4156484463278893
ret_126,fwd_ret_1,1,0.012903568896671472,1127,1.851363845970236,0.012903568896671472,1127,1.851363845970236
trend_200,fwd_ret_1,1,0.010802384842211734,1054,1.5065838745804927,0.010802384842211734,1054,1.5065838745804927
rev_5,fwd_ret_1,1,0.006273757916809443,1248,1.1254117957040803,0.006273757916809443,1248,1.1254117957040803
dist_20dma,fwd_ret_1,1,-0.006247060184481613,1234,-1.0818592644585174,-0.006247060184481613,1234,-1.0818592644585174
vol_20,fwd_ret_1,1,0.00622247808347176,1233,0.8795605247302296,0.00622247808347176,1233,0.8795605247302296
dollar_vol_20,fwd_ret_1,1,0.0022428299980096983,1234,0.5934412781461934,0.0022428299980096983,1234,0.5934412781461934
wr,fwd_ret_1,1,-0.0028068310904833275,1240,-0.5425643432918257,-0.0028068310904833275,1240,-0.5425643432918257
ret_63,fwd_ret_1,1,0.003326819459880297,1190,0.5144137022715108,0.003326819459880297,1190,0.5144137022715108
ret_21,fwd_ret_1,1,-0.0025902007974219943,1232,-0.44861726752031994,-0.0025902007974219943,1232,-0.44861726752031994
dist_50dma,fwd_ret_1,1,0.0007889294854634922,1204,0.12594865202561983,0.0007889294854634922,1204,0.12594865202561983
rsi,fwd_ret_1,1,-0.000401200228512037,1239,-0.07022005611305925,-0.000401200228512037,1239,-0.07022005611305925
mom_12_1,fwd_ret_1_mkt,1,0.02569616128617427,1001,3.4156484463278893,0.02569616128617427,1001,3.4156484463278893
ret_126,fwd_ret_1_mkt,1,0.012903568896671472,1127,1.851363845970236,0.012903568896671472,1127,1.851363845970236
trend_200,fwd_ret_1_mkt,1,0.010802384842211734,1054,1.5065838745804927,0.010802384842211734,1054,1.5065838745804927
rev_5,fwd_ret_1_mkt,1,0.006273757916809443,1248,1.1254117957040803,0.006273757916809443,1248,1.1254117957040803
dist_20dma,fwd_ret_1_mkt,1,-0.006247060184481613,1234,-1.0818592644585174,-0.006247060184481613,1234,-1.0818592644585174
vol_20,fwd_ret_1_mkt,1,0.00622247808347176,1233,0.8795605247302296,0.00622247808347176,1233,0.8795605247302296
dollar_vol_20,fwd_ret_1_mkt,1,0.0022428299980096983,1234,0.5934412781461934,0.0022428299980096983,1234,0.5934412781461934
wr,fwd_ret_1_mkt,1,-0.0028068310904833275,1240,-0.5425643432918257,-0.0028068310904833275,1240,-0.5425643432918257
ret_63,fwd_ret_1_mkt,1,0.003326819459880297,1190,0.5144137022715108,0.003326819459880297,1190,0.5144137022715108
ret_21,fwd_ret_1_mkt,1,-0.0025902007974219943,1232,-0.44861726752031994,-0.0025902007974219943,1232,-0.44861726752031994
dist_50dma,fwd_ret_1_mkt,1,0.0007889294854634922,1204,0.12594865202561983,0.0007889294854634922,1204,0.12594865202561983
rsi,fwd_ret_1_mkt,1,-0.000401200228512037,1239,-0.07022005611305925,-0.000401200228512037,1239,-0.07022005611305925
mom_12_1,fwd_ret_20,20,0.02888191586665226,982,4.82955869149664,0.032147592997105096,50,1.0274133459390897
vol_20,fwd_ret_20,20,0.02648645411825353,1214,4.176539410486689,0.027307070343830453,61,0.9988453891802519
rsi,fwd_ret_20,20,0.007197072051084604,1220,1.6071007811318556,0.01669099580036582,61,0.9391980323496334
dollar_vol_20,fwd_ret_20,20,-0.005724391704865749,1215,-1.8910159715187749,-0.011162478229517051,61,-0.8162279909226162
ret_63,fwd_ret_20,20,-0.013895360371060152,1171,-2.6254109063377187,-0.018162110342810504,59,-0.7983134005341286
dist_50dma,fwd_ret_20,20,0.0034051825041575144,1185,0.6673127050248711,0.014070053632759823,60,0.6371647828475824
wr,fwd_ret_20,20,0.003478182269976923,1221,0.847504496836007,-0.011309234491941865,62,-0.6246170527828737
ret_126,fwd_ret_20,20,0.00742141895768205,1108,1.343484193651665,0.009004767708692633,56,0.3854170768002369
trend_200,fwd_ret_20,20,0.0068856694936311295,1035,1.1217417124856255,0.010181651443300672,52,0.34022984020837277
ret_21,fwd_ret_20,20,0.007244640573490941,1213,1.5302325208159993,-0.001827778030961676,61,-0.0767691090219691
dist_20dma,fwd_ret_20,20,0.004534434638859137,1215,0.9646645449982799,0.0007116386349970721,61,0.03278417402127634
rev_5,fwd_ret_20,20,0.0024139420779310515,1229,0.5214973013942096,3.928449265840655e-05,62,0.0019390050132029233
mom_12_1,fwd_ret_20_mkt,20,0.02888191586665226,982,4.82955869149664,0.032147592997105096,50,1.0274133459390897
vol_20,fwd_ret_20_mkt,20,0.02648645411825353,1214,4.176539410486689,0.027307070343830453,61,0.9988453891802519
rsi,fwd_ret_20_mkt,20,0.007197072051084604,1220,1.6071007811318556,0.01669099580036582,61,0.9391980323496334
dollar_vol_20,fwd_ret_20_mkt,20,-0.005724391704865749,1215,-1.8910159715187749,-0.011162478229517051,61,-0.8162279909226162
ret_63,fwd_ret_20_mkt,20,-0.013895360371060152,1171,-2.6254109063377187,-0.018162110342810504,59,-0.7983134005341286
dist_50dma,fwd_ret_20_mkt,20,0.0034051825041575144,1185,0.6673127050248711,0.014070053632759823,60,0.6371647828475824
wr,fwd_ret_20_mkt,20,0.003478182269976923,1221,0.847504496836007,-0.011309234491941865,62,-0.6246170527828737
ret_126,fwd_ret_20_mkt,20,0.00742141895768205,1108,1.343484193651665,0.009004767708692633,56,0.3854170768002369
trend_200,fwd_ret_20_mkt,20,0.0068856694936311295,1035,1.1217417124856255,0.010181651443300672,52,0.34022984020837277
ret_21,fwd_ret_20_mkt,20,0.007244640573490941,1213,1.5302325208159993,-0.001827778030961676,61,-0.0767691090219691
dist_20dma,fwd_ret_20_mkt,20,0.004534434638859137,1215,0.9646645449982799,0.0007116386349970721,61,0.03278417402127634
rev_5,fwd_ret_20_mkt,20,0.0024139420779310515,1229,0.5214973013942096,3.928449265840655e-05,62,0.0019390050132029233
mom_12_1,fwd_ret_5,5,0.026121219028250153,997,3.7120805558333174,0.028377841691402027,200,1.6948509637739348
vol_20,fwd_ret_5,5,0.017663431408829006,1229,2.5432430037764258,0.02153621408585716,246,1.4363591251007874
wr,fwd_ret_5,5,-0.008076360348690866,1236,-1.7862871033146404,-0.014782519836468685,248,-1.4129513232400603
rev_5,fwd_ret_5,5,0.009536267871703143,1244,1.9265329817073757,0.010841187664630556,249,1.0403793740779577
ret_63,fwd_ret_5,5,-0.007657408589016892,1186,-1.3235715744686356,-0.010671470636168811,238,-0.8055670474172075
ret_126,fwd_ret_5,5,0.007429038195929236,1123,1.1736051240974037,0.009012545822509587,225,0.6487626569147323
dist_50dma,fwd_ret_5,5,-0.0009842622908857316,1200,-0.17865091339728453,0.007251639696543021,240,0.5689947923456553
trend_200,fwd_ret_5,5,0.005498119340244874,1050,0.822978853064132,0.00869715549915435,210,0.5658307965910616
rsi,fwd_ret_5,5,-0.0023970327180963882,1235,-0.4779062602912968,0.005852182978303718,247,0.508423618766727
ret_21,fwd_ret_5,5,-0.0034294144700943423,1228,-0.649255977805339,-0.005242373038840744,246,-0.45985149832115113
dist_20dma,fwd_ret_5,5,-0.008887304678441356,1230,-1.7255697608101717,-0.0020098614196250347,246,-0.17075215657676793
dollar_vol_20,fwd_ret_5,5,-0.0007891707431109061,1230,-0.22511937244239283,-0.000513444106107728,246,-0.06354367621235461
mom_12_1,fwd_ret_5_mkt,5,0.026121219028250153,997,3.7120805558333174,0.028377841691402027,200,1.6948509637739348
vol_20,fwd_ret_5_mkt,5,0.017663431408829006,1229,2.5432430037764258,0.02153621408585716,246,1.4363591251007874
wr,fwd_ret_5_mkt,5,-0.008076360348690866,1236,-1.7862871033146404,-0.014782519836468685,248,-1.4129513232400603
